year,county,total,male,female,over18,under19,under19_male,under19_female,over18_male,over18_female
1991.0,PROWERS,12961.0,6334.0,6627.0,8721.0,4240.0,2147.0,2093.0,4187.0,4534.0
1991.0,PUEBLO,123482.0,59814.0,63668.0,89081.0,34401.0,17511.0,16890.0,42303.0,46778.0
1991.0,RIO BLANCO,6024.0,3052.0,2972.0,4134.0,1890.0,971.0,919.0,2081.0,2053.0
1991.0,RIO GRANDE,10842.0,5347.0,5495.0,7434.0,3408.0,1745.0,1663.0,3602.0,3832.0
1991.0,ROUTT,14729.0,7867.0,6862.0,10865.0,3864.0,2073.0,1791.0,5794.0,5071.0
1991.0,SAGUACHE,4735.0,2418.0,2317.0,3183.0,1552.0,831.0,721.0,1587.0,1596.0
1991.0,SAN JUAN,703.0,391.0,312.0,491.0,212.0,117.0,95.0,274.0,217.0
1991.0,SAN MIGUEL,4124.0,2205.0,1919.0,3180.0,944.0,475.0,469.0,1730.0,1450.0
1991.0,SEDGWICK,2668.0,1305.0,1363.0,1993.0,675.0,343.0,332.0,962.0,1031.0
1991.0,SUMMIT,13469.0,7396.0,6073.0,10626.0,2843.0,1444.0,1399.0,5952.0,4674.0
1991.0,TELLER,12717.0,6459.0,6258.0,8936.0,3781.0,2008.0,1773.0,4451.0,4485.0
1991.0,WASHINGTON,4784.0,2386.0,2398.0,3441.0,1343.0,687.0,656.0,1699.0,1742.0
1991.0,WELD,135739.0,67173.0,68566.0,94946.0,40793.0,20823.0,19970.0,46350.0,48596.0
1991.0,YUMA,9007.0,4413.0,4594.0,6295.0,2712.0,1403.0,1309.0,3010.0,3285.0
1992.0,ADAMS,281386.0,140356.0,141030.0,195865.0,85521.0,43805.0,41716.0,96551.0,99314.0
1992.0,ALAMOSA,13572.0,6676.0,6896.0,9338.0,4234.0,2168.0,2066.0,4508.0,4830.0
1992.0,ARAPAHOE,417678.0,204101.0,213577.0,299162.0,118516.0,60643.0,57873.0,143458.0,155704.0
1992.0,ARCHULETA,5888.0,2993.0,2895.0,4138.0,1750.0,941.0,809.0,2052.0,2086.0
1992.0,BACA,4298.0,2121.0,2177.0,3173.0,1125.0,569.0,556.0,1552.0,1621.0
1992.0,BENT,5037.0,2668.0,2369.0,3667.0,1370.0,688.0,682.0,1980.0,1687.0
1992.0,BOULDER,238392.0,119704.0,118688.0,179167.0,59225.0,30268.0,28957.0,89436.0,89731.0
1992.0,BROOMFIELD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992.0,CHAFFEE,13119.0,7026.0,6093.0,10070.0,3049.0,1631.0,1418.0,5395.0,4675.0
1992.0,CHEYENNE,2407.0,1226.0,1181.0,1639.0,768.0,410.0,358.0,816.0,823.0
1992.0,CLEAR CREEK,7834.0,4064.0,3770.0,5773.0,2061.0,1076.0,985.0,2988.0,2785.0
1992.0,CONEJOS,7513.0,3745.0,3768.0,4838.0,2675.0,1352.0,1323.0,2393.0,2445.0
