county,school_dist,students_with_disabilities_final_grad_base,students_with_disabilities_graduates_total,students_with_disabilities_graduation_rate,students_with_disabilities_completers_total,students_with_disabilities_completion_rate,limited_english_proficient_final_grad_base,limited_english_proficient_graduates_total,limited_english_proficient_graduation_rate,limited_english_proficient_completers_total,limited_english_proficient_completion_rate,econ_disadvant_final_grad_base,econ_disadvant_graduates_total,econ_disadvant_graduation_rate,econ_disadvant_completers_total,econ_disadvant_completion_rate,migrant_final_grad_base,migrant_graduates_total,migrant_graduation_rate,migrant_completers_total,migrant_completion_rate,title_1_final_grad_base,title_1_graduates_total,title_1_graduation_rate,title_1_completers_total,title_1_completion_rate,homeless_final_grad_base,homeless_graduates_total,homeless_graduation_rate,homeless_completers_total,homeless_completion_rate,gifted_talented_final_grad_base,gifted_talented_graduates_total,gifted_talented_graduation_rate,gifted_talented_completers_total,gifted_talented_completion_rate
ELBERT,KIOWA C-2,1.0,1.0,100.0,1.0,100.0,2.0,2.0,100.0,2.0,100.0,10.0,10.0,100.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,2.0,100.0,1.0,1.0,100.0,1.0,100.0
ELBERT,BIG SANDY 100J,4.0,4.0,100.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,14.0,13.0,92.9,13.0,92.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELBERT,ELBERT 200,2.0,1.0,50.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,50.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,3.0,100.0
ELBERT,AGATE 300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EL PASO,CALHAN RJ-1,5.0,4.0,80.0,4.0,80.0,0.0,0.0,0.0,0.0,0.0,23.0,21.0,91.3,21.0,91.3,0.0,0.0,0.0,0.0,0.0,6.0,6.0,100.0,6.0,100.0,1.0,1.0,100.0,1.0,100.0,5.0,5.0,100.0,5.0,100.0
EL PASO,HARRISON 2,48.0,28.0,58.3,28.0,58.3,66.0,44.0,66.7,44.0,66.7,385.0,287.0,74.5,293.0,76.1,1.0,1.0,100.0,1.0,100.0,6.0,4.0,66.7,4.0,66.7,8.0,6.0,75.0,6.0,75.0,48.0,44.0,91.7,44.0,91.7
EL PASO,WIDEFIELD 3,81.0,41.0,50.6,43.0,53.1,9.0,6.0,66.7,6.0,66.7,257.0,183.0,71.2,190.0,73.9,0.0,0.0,0.0,0.0,0.0,9.0,4.0,44.4,5.0,55.6,24.0,13.0,54.2,14.0,58.3,14.0,12.0,85.7,12.0,85.7
EL PASO,FOUNTAIN 8,32.0,23.0,71.9,23.0,71.9,9.0,8.0,88.9,8.0,88.9,161.0,122.0,75.8,124.0,77.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,66.7,2.0,66.7,39.0,26.0,66.7,26.0,66.7,1.0,1.0,100.0,1.0,100.0
EL PASO,COLORADO SPRINGS 11,189.0,66.0,34.9,69.0,36.5,125.0,60.0,48.0,63.0,50.4,1142.0,621.0,54.4,678.0,59.4,1.0,0.0,0.0,0.0,0.0,47.0,17.0,36.2,20.0,42.6,88.0,34.0,38.6,37.0,42.0,250.0,225.0,90.0,231.0,92.4
EL PASO,CHEYENNE MOUNTAIN 12,20.0,16.0,80.0,17.0,85.0,2.0,2.0,100.0,2.0,100.0,30.0,23.0,76.7,24.0,80.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,62.0,61.0,98.4,61.0,98.4
